india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
the rating agency moodys fears that their budgets are being heavily strained by the high expenditure on the health system and also by the declining economy	die ratingagentur moodys befurchtet dass deren budgets stark von den hohen ausgaben fur das gesundheitssystem und zusatzlich von der sich verschlechternden wirtschaft strapaziert werden
the african development bank has already promised to provide financial aid to the tune of million dollars million euros to the health systems of affected countries	die afrikanische entwicklungsbank versprach bereits den gesundheitssystemen der betroffenen lander mit millionen dollar millionen euro auszuhelfen
the effects in nigeria where up to now only a few ebola cases have been diagnosed are already noticeable	spurbar sind die auswirkungen auch bereits in nigeria wo bislang nur wenige ebolafalle diagnostiziert wurden
yet the oilrich region in the south of the niger delta is not yet affected	zwar ist die olreiche region im sudlichen nigerdelta bisher nicht betroffen
however elsewhere many people are already staying at home for fear of becoming infected	doch anderswo bleiben bereits viele menschen aus angst vor einer ansteckung zuhause
there is even a marked decline in the number of hotel reservations	auch reservierungen in hotels gehen deutlich zuruck
shooters are celebrating their anniversary	schutzen feiern ihr jubilaum
the gun club tannenwald in berngau is celebrating its anniversary from to september	der schutzenverein tannenwald berngau feiert von bis september sein grundungsfest
the preparations for the party are well underway in tannenwald gun club which will celebrate years since being established on to september	auf hochtouren laufen beim schutzenverein tannenwald die vorbereitungen fur das grundungsfest von bis september
the plan for friday september is an evening of entertainment provided by the group dorfrocker	geplant ist am freitag september ein groer unterhaltungsabend mit der gruppe dorfrocker
the large cannon will be fired on saturday at	am samstag ist um uhr das groe bollerschieen
followed by a pleasant evening with stoapfalzer spitzbuam stoapfalzer rascals in a large party tent	anschlieend ist im groen festzelt der stimmungsabend mit den stoapfalzer spitzbuam
a brass band will be catering for the music	blaskapelle sorgt fur die musik
the highlights on sunday will be the festival service which will take place at in the parish church and also the processions at	hohepunkte am sonntag sind der festgottesdienst und uhr in der pfarrkirche und der groe festzug um uhr
there will also be a ranking announcement in the afternoon for the national and county shooting competition	am nachmittag ist auch die preisverteilung des bundes und gauschieens
a particularly attractive sight will be the festival women in their dirndls	ein besonders schoner anblick werden die festdamen mit ihren dirndln sein
the festival band will be berngau brass band	festkapelle ist die blaskapelle berngau
mayor wolfgang wild and state secretary albert furacker have taken on the sponsorship	die schirmherrschaft haben burgermeister wolfgang wild und staatssekretar albert furacker ubernommen
the original name schutzengesellschaft tannenwald berngau gun society tannenwald berngau dates back to when on march the club was founded and described as social entertainment by means of pistol and smallcaliber target practice	die ursprungliche bezeichnung schutzengesellschaft tannenwald berngau stammt aus dem jahr als am marz der verein zur gesellschaftlichen unterhaltung mittels ubung im zimmerstutzen und kleinkaliberschieen gegrundet worden ist
in the nazi regime closed the club down	das nsregime hatte die auflosung des vereins veranlasst
then on april young men founded the club again and launched the new gun club tannenwald in berngau at lukas guesthouse	erst haben sich sich wieder junge manner gefunden die am april im gasthaus lukas den neuen schutzenverein tannenwald berngau aus der taufe gehoben haben
karl marz and adolf ried led the club as range officers during its tough early years the main objective then was to find a club pub and set up a shooting company	karl marz und adolf ried fuhrten den verein als schutzenmeister durch eine schwierige anfangszeit in der es vornehmlich darum ging ein vereinslokal zu finden und den schiebetrieb zu installieren
as early as autumn the shooting club started out in leininger guest house with two teams competing against one another	bereits im herbst startete der schutzenverein im gasthaus leininger mit zwei mannschaften in den rundenwettkampfen
the following year target shooting was set up as a sport organized into seven teams ranging in ability all the way up to the local premier league	in den folgejahren etablierten sich die sportschutzen die mittlerweile in sieben mannschaften organisiert waren in allen klassen bis hin zur gauliga
the club records roll out every year and the magic rounds were set up for the first time in by rudi meier	die vereinsrekorde purzelten alljahrlich und die magische grenze von ringen wurde zum ersten mal von rudi meier erreicht
just as the achievements of the active members has increased so have the number of members	so wie sich die leistungsfahigkeit der aktiven schutzen erhoht haben haben sich auch die mitgliederzahlen positiv entwickelt
once the club pub leininger no longer met the requirements of a modern gun club the clubs management at the time lead by johann rinn decided to set up its future home in the basement room of the new landgasthof harteis a country hotel	nachdem das vereinslokal leininger nicht mehr den anspruchen eines modernen schutzenvereins genugt hat hat sich die damalige vorstandschaft unter der fuhrung von johann rinn dazu entschlossen in den kellerraumen des neuen landgasthof harteis ein kunftiges domizil zu schaffen
